"","pid","condition","gender","age_cat","education","trial","WOA","Trust"
"90","S009","low","female","18-34","none",10,0.504597397880213,3
"91","S010","low","female","50-65","college",1,0.606456893085472,5
"92","S010","low","female","50-65","college",2,0.654201592712032,6
"93","S010","low","female","50-65","college",3,0.831863353310142,5
"94","S010","low","female","50-65","college",4,0.417315954425279,5
"95","S010","low","female","50-65","college",5,0.860688483161576,3
"96","S010","low","female","50-65","college",6,0.601316253581399,5
"97","S010","low","female","50-65","college",7,0.919520755418033,3
"98","S010","low","female","50-65","college",8,0.705556808911679,4
"99","S010","low","female","50-65","college",9,0.455375443843187,5
"100","S010","low","female","50-65","college",10,0.42508644545747,2
"101","S011","low","female","50-65","highschool",1,0.595854038517343,4
"102","S011","low","female","50-65","highschool",2,0.632775700761677,5
"103","S011","low","female","50-65","highschool",3,0.352644894234773,5
"104","S011","low","female","50-65","highschool",4,0.296341769743886,5
"105","S011","low","female","50-65","highschool",5,0.500407672355062,4
"106","S011","low","female","50-65","highschool",6,0.0928135013361591,4
"107","S011","low","female","50-65","highschool",7,0.23720305328701,6
"108","S011","low","female","50-65","highschool",8,0.615093254260247,5
"109","S011","low","female","50-65","highschool",9,0.691240943564655,3
"110","S011","low","female","50-65","highschool",10,0.77794571546431,4
"111","S012","low","female","18-34","highschool",1,0.465328828416799,4
"112","S012","low","female","18-34","highschool",2,0.507242381714348,4
"113","S012","low","female","18-34","highschool",3,0.407955248948919,1
"114","S012","low","female","18-34","highschool",4,0.529185841005495,3
"115","S012","low","female","18-34","highschool",5,0.398981863097163,5
"116","S012","low","female","18-34","highschool",6,0.330286554362155,3
"117","S012","low","female","18-34","highschool",7,0.549034115799928,4
"118","S012","low","female","18-34","highschool",8,0.176386039436036,6
"119","S012","low","female","18-34","highschool",9,0.82868311947435,3
"120","S012","low","female","18-34","highschool",10,0.211883594433506,5
"121","S013","low","female","50-65","college",1,0.531979087989271,3
"122","S013","low","female","50-65","college",2,0.332456512168601,2
"123","S013","low","female","50-65","college",3,0.503124066824061,4
"124","S013","low","female","50-65","college",4,0.551924907196144,4
"125","S013","low","female","50-65","college",5,0.730480777685309,4
"126","S013","low","female","50-65","college",6,0.480243606870298,3
"127","S013","low","female","50-65","college",7,0.637867569347937,5
"128","S013","low","female","50-65","college",8,0.573518701657849,4
"129","S013","low","female","50-65","college",9,0.449176470364429,5
"130","S013","low","female","50-65","college",10,0.555994737783195,3
"131","S014","low","female","50-65","college",1,0.686281738997695,6
"132","S014","low","female","50-65","college",2,0.732864389168204,4
"133","S014","low","female","50-65","college",3,0.437591080041735,5
"134","S014","low","female","50-65","college",4,0.244958682308335,6
"135","S014","low","female","50-65","college",5,0.364484921088751,3
"136","S014","low","female","50-65","college",6,0.733359426728496,5
"137","S014","low","female","50-65","college",7,0.526996039006054,4
"138","S014","low","female","50-65","college",8,0.477048943973001,4
"139","S014","low","female","50-65","college",9,0.230058050866931,1
"140","S014","low","female","50-65","college",10,0.469478439232179,5
"141","S015","low","female","50-65","highschool",1,0.192288067544143,4
"142","S015","low","female","50-65","highschool",2,0.561130050198696,5
"143","S015","low","female","50-65","highschool",3,0.759186835745072,3
"144","S015","low","female","50-65","highschool",4,0.556651491119092,5
"145","S015","low","female","50-65","highschool",5,0.36684809676987,5
"146","S015","low","female","50-65","highschool",6,0.542221215008867,5
"147","S015","low","female","50-65","highschool",7,0.715075846518429,4
"148","S015","low","female","50-65","highschool",8,0.653030434589688,6
"149","S015","low","female","50-65","highschool",9,0.557295058965476,6
"150","S015","low","female","50-65","highschool",10,0.440646798122382,5
"151","S016","low","female","18-34","college",1,0.335469739887521,7
"152","S016","low","female","18-34","college",2,0.728149853863309,5
"153","S016","low","female","18-34","college",3,0.566634263766752,5
"154","S016","low","female","18-34","college",4,0.632231455731816,5
"155","S016","low","female","18-34","college",5,0.563658336041511,7
"156","S016","low","female","18-34","college",6,0.633155730545823,6
"157","S016","low","female","18-34","college",7,0.410531685595446,5
"158","S016","low","female","18-34","college",8,0.265909078716774,5
"159","S016","low","female","18-34","college",9,0.666912724795191,5
"160","S016","low","female","18-34","college",10,0.278143621203577,6
"161","S017","low","female","50-65","college",1,0.541230286957789,4
"162","S017","low","female","50-65","college",2,0.583142041998693,4
"163","S017","low","female","50-65","college",3,0.224123885700088,4
"164","S017","low","female","50-65","college",4,0.578515907850908,5
"165","S017","low","female","50-65","college",5,0.306851759561191,3
"166","S017","low","female","50-65","college",6,0.448039028243268,5
"167","S017","low","female","50-65","college",7,0.394285090542027,3
"168","S017","low","female","50-65","college",8,0.52926980543658,5
"169","S017","low","female","50-65","college",9,0.664487574508624,4
"170","S017","low","female","50-65","college",10,0.688120433005352,3
"171","S018","low","female","50-65","college",1,0.572994525609777,3
"172","S018","low","female","50-65","college",2,0.452105835835087,4
"173","S018","low","female","50-65","college",3,0.516699398798968,3
"174","S018","low","female","50-65","college",4,0.602270747637495,5
"175","S018","low","female","50-65","college",5,0.362074413578609,3
"176","S018","low","female","50-65","college",6,0.601650640026289,5
"177","S018","low","female","50-65","college",7,0.527724719340414,3
"178","S018","low","female","50-65","college",8,0.395792604571735,4
"179","S018","low","female","50-65","college",9,0.341983093587943,4
"180","S018","low","female","50-65","college",10,0.636889392387449,5
"181","S019","low","female","35-49","highschool",1,0.637650897623535,5
"182","S019","low","female","35-49","highschool",2,0.525801385295608,3
"183","S019","low","female","35-49","highschool",3,0.613895931480793,5
"184","S019","low","female","35-49","highschool",4,0.395909280652052,5
"185","S019","low","female","35-49","highschool",5,0.65792274885891,5
"186","S019","low","female","35-49","highschool",6,0.580451665973133,4
"187","S019","low","female","35-49","highschool",7,0.809045857231662,4
"188","S019","low","female","35-49","highschool",8,0.636252084391998,2
"189","S019","low","female","35-49","highschool",9,0.483086026891874,3
"190","S019","low","female","35-49","highschool",10,0.630926479161011,4
"191","S020","low","female","35-49","college",1,0.579944060677635,7
"192","S020","low","female","35-49","college",2,0.548579597523965,4
"193","S020","low","female","35-49","college",3,0.544066636477318,5
"194","S020","low","female","35-49","college",4,0.523118979106411,5
"195","S020","low","female","35-49","college",5,0.428445252152443,5
"196","S020","low","female","35-49","college",6,0.447627449015426,5
"197","S020","low","female","35-49","college",7,0.646832211725369,4
"198","S020","low","female","35-49","college",8,0.620313229354853,5
"199","S020","low","female","35-49","college",9,0.575864695125787,5
"200","S020","low","female","35-49","college",10,0.473477095738259,4
"201","S021","low","female","35-49","none",1,0.506616888368297,4
"202","S021","low","female","35-49","none",2,0.499430550847568,5
"203","S021","low","female","35-49","none",3,0.451886385492777,6
"204","S021","low","female","35-49","none",4,0.548276243977315,3
"205","S021","low","female","35-49","none",5,0.274913051559066,5
"206","S021","low","female","35-49","none",6,0.611876834841704,2
"207","S021","low","female","35-49","none",7,0.779223909766941,5
"208","S021","low","female","35-49","none",8,0.206120061292637,5
"209","S021","low","female","35-49","none",9,0.539919196294049,4
"210","S021","low","female","35-49","none",10,0.522828540528304,4
"211","S022","low","female","50-65","college",1,0.221120836974631,4
"212","S022","low","female","50-65","college",2,0.650572435706972,5
"213","S022","low","female","50-65","college",3,0.355274645418901,5
"214","S022","low","female","50-65","college",4,0.678964753008763,4
"215","S022","low","female","50-65","college",5,0.529082846451595,5
"216","S022","low","female","50-65","college",6,0.486521297279566,6
"217","S022","low","female","50-65","college",7,0.598625590943084,6
"218","S022","low","female","50-65","college",8,0.47733548312258,5
"219","S022","low","female","50-65","college",9,0.68601360658294,5
"220","S022","low","female","50-65","college",10,0.791235205698667,4
"221","S023","low","female","50-65","highschool",1,0.607760162448065,4
"222","S023","low","female","50-65","highschool",2,0.315264970088534,5
"223","S023","low","female","50-65","highschool",3,0.371472517386888,6
"224","S023","low","female","50-65","highschool",4,0.432594314706808,5
"225","S023","low","female","50-65","highschool",5,0.620134081159056,4
"226","S023","low","female","50-65","highschool",6,0.148211561692033,6
"227","S023","low","female","50-65","highschool",7,0.511918937488412,6
"228","S023","low","female","50-65","highschool",8,0.208024927235013,3
"229","S023","low","female","50-65","highschool",9,0.599271471936532,3
"230","S023","low","female","50-65","highschool",10,0.772358235394465,4
"231","S024","low","female","50-65","highschool",1,0.451064212860838,3
"232","S024","low","female","50-65","highschool",2,0.388906923910625,2
"233","S024","low","female","50-65","highschool",3,0.697957648433642,4
"234","S024","low","female","50-65","highschool",4,0.649451262648913,4
"235","S024","low","female","50-65","highschool",5,0.549995139638149,4
"236","S024","low","female","50-65","highschool",6,0.541720896705112,3
"237","S024","low","female","50-65","highschool",7,0.338547958920811,5
"238","S024","low","female","50-65","highschool",8,0.624795352621624,4
"239","S024","low","female","50-65","highschool",9,0.788010228105183,4
"240","S024","low","female","50-65","highschool",10,0.765879349955405,4
"241","S025","low","female","35-49","highschool",1,0.376303317698547,7
"242","S025","low","female","35-49","highschool",2,0.409434146773978,3
"243","S025","low","female","35-49","highschool",3,0.707160109563168,4
"244","S025","low","female","35-49","highschool",4,0.470436824601051,5
"245","S025","low","female","35-49","highschool",5,0.145452839406406,5
"246","S025","low","female","35-49","highschool",6,0.867367817433166,6
"247","S025","low","female","35-49","highschool",7,0.00645254035969745,4
"248","S025","low","female","35-49","highschool",8,0.489670029179831,6
"249","S025","low","female","35-49","highschool",9,0.703185921775237,3
"250","S025","low","female","35-49","highschool",10,0.582617284994759,5
"251","S026","low","male","50-65","college",1,0.561618773762064,6
"252","S026","low","male","50-65","college",2,0.612583357132209,5
"253","S026","low","male","50-65","college",3,0.382676008269581,4
"254","S026","low","male","50-65","college",4,0.61716716886065,3
"255","S026","low","male","50-65","college",5,0.268280433765938,5
"256","S026","low","male","50-65","college",6,0.643797832887029,6
"257","S026","low","male","50-65","college",7,0.162497155965083,3
"258","S026","low","male","50-65","college",8,0.587095619693724,4
"259","S026","low","male","50-65","college",9,0.312875876270869,7
"260","S026","low","male","50-65","college",10,0.354456582901722,6
"261","S027","low","male","50-65","none",1,0.680366362750607,4
"262","S027","low","male","50-65","none",2,0.690235162242779,5
"263","S027","low","male","50-65","none",3,0.531946265252089,5
"264","S027","low","male","50-65","none",4,0.451295529394318,5
"265","S027","low","male","50-65","none",5,0.717036223085104,4
"266","S027","low","male","50-65","none",6,0.407545010752114,5
"267","S027","low","male","50-65","none",7,0.461236812838213,5
"268","S027","low","male","50-65","none",8,0.644152425835578,6
"269","S027","low","male","50-65","none",9,0.608856487073345,7
"270","S027","low","male","50-65","none",10,0.573367949437567,6
"271","S028","low","male","35-49","college",1,0.574748294515466,7
"272","S028","low","male","35-49","college",2,0.703667425991147,3
"273","S028","low","male","35-49","college",3,0.187567040605409,6
"274","S028","low","male","35-49","college",4,0.455218545318322,5
"275","S028","low","male","35-49","college",5,0.516118704952944,6
"276","S028","low","male","35-49","college",6,0.682259030194918,3
"277","S028","low","male","35-49","college",7,0.322863924369719,6
"278","S028","low","male","35-49","college",8,0.224440455715885,6
"279","S028","low","male","35-49","college",9,0.0757616213917721,5
"280","S028","low","male","35-49","college",10,0.541754753349299,4
"281","S029","low","male","50-65","none",1,0.487813234889467,7
"282","S029","low","male","50-65","none",2,0.318867877664913,5
"283","S029","low","male","50-65","none",3,0.415582733455145,6
"284","S029","low","male","50-65","none",4,0.508239176828459,4
"285","S029","low","male","50-65","none",5,0.29227103270363,7
"286","S029","low","male","50-65","none",6,0.482775706422709,5
"287","S029","low","male","50-65","none",7,0.650359455644384,5
"288","S029","low","male","50-65","none",8,0.688479108242856,4
"289","S029","low","male","50-65","none",9,0.498559221876137,5
"290","S029","low","male","50-65","none",10,0.37682989182247,5
"291","S030","low","male","35-49","none",1,0.529022222731382,3
"292","S030","low","male","35-49","none",2,0.664197631898864,3
"293","S030","low","male","35-49","none",3,0.518366955890647,5
"294","S030","low","male","35-49","none",4,0.865041147516132,4
"295","S030","low","male","35-49","none",5,0.20065669410685,5
"296","S030","low","male","35-49","none",6,0.92599952231203,4
"297","S030","low","male","35-49","none",7,0.760767212037639,4
"298","S030","low","male","35-49","none",8,0.827741102887629,4
"299","S030","low","male","35-49","none",9,0.541290147924401,4
"300","S030","low","male","35-49","none",10,0.422129552359712,4
"301","S031","low","male","50-65","highschool",1,0.513894981960058,5
"302","S031","low","male","50-65","highschool",2,0.185859805836705,6
"303","S031","low","male","50-65","highschool",3,0.818174933149899,5
"304","S031","low","male","50-65","highschool",4,0.762560533424263,5
"305","S031","low","male","50-65","highschool",5,0.3519811139014,4
"306","S031","low","male","50-65","highschool",6,0.400453020969545,4
"307","S031","low","male","50-65","highschool",7,0.794840758149696,5
"308","S031","low","male","50-65","highschool",8,0.36362579309779,4
"309","S031","low","male","50-65","highschool",9,0.498334972529786,5
"310","S031","low","male","50-65","highschool",10,0.451771198570658,7
"311","S032","low","male","35-49","highschool",1,0.313084375155969,5
"312","S032","low","male","35-49","highschool",2,0.682550151246073,4
"313","S032","low","male","35-49","highschool",3,0.230267948311579,5
"314","S032","low","male","35-49","highschool",4,0.521205776256742,7
"315","S032","low","male","35-49","highschool",5,0.526767098665548,5
"316","S032","low","male","35-49","highschool",6,0.807050059175918,5
"317","S032","low","male","35-49","highschool",7,0.40975678224838,5
"318","S032","low","male","35-49","highschool",8,0.16068941737403,5
"319","S032","low","male","35-49","highschool",9,0.627320688596171,7
"320","S032","low","male","35-49","highschool",10,0.605861729975005,4
"321","S033","low","male","50-65","highschool",1,0.429000657155026,7
"322","S033","low","male","50-65","highschool",2,0.56904674678959,5
"323","S033","low","male","50-65","highschool",3,0.612463265283312,6
"324","S033","low","male","50-65","highschool",4,0.379514319222498,6
"325","S033","low","male","50-65","highschool",5,0.686914428319581,5
"326","S033","low","male","50-65","highschool",6,0.465327900249579,5
"327","S033","low","male","50-65","highschool",7,0.740742525213384,5
"328","S033","low","male","50-65","highschool",8,0.627621218541105,6
"329","S033","low","male","50-65","highschool",9,0.405363307693799,6
"330","S033","low","male","50-65","highschool",10,0.684365097322038,7
"331","S034","low","male","18-34","college",1,0.409269136383784,5
"332","S034","low","male","18-34","college",2,0.65880941741022,7
"333","S034","low","male","18-34","college",3,0.719165194090689,7
"334","S034","low","male","18-34","college",4,0.760946567074611,5
"335","S034","low","male","18-34","college",5,0.336461310364348,5
"336","S034","low","male","18-34","college",6,0.498998580251502,5
"337","S034","low","male","18-34","college",7,0.409930410761048,5
"338","S034","low","male","18-34","college",8,0.51176371509008,4
"339","S034","low","male","18-34","college",9,0.662526367684458,5
"340","S034","low","male","18-34","college",10,0.412882165857143,6
"341","S035","low","male","50-65","college",1,0.719897054671225,5
"342","S035","low","male","50-65","college",2,0.649301128994835,4
"343","S035","low","male","50-65","college",3,0.534727609918116,6
"344","S035","low","male","50-65","college",4,0.800500440971603,5
"345","S035","low","male","50-65","college",5,0.419910968073746,6
"346","S035","low","male","50-65","college",6,0.41806652476645,5
"347","S035","low","male","50-65","college",7,0.568863186827279,3
"348","S035","low","male","50-65","college",8,0.463597387912254,3
"349","S035","low","male","50-65","college",9,0.760659669298235,6
"350","S035","low","male","50-65","college",10,0.386302637841274,6
"351","S036","low","male","35-49","none",1,0.66179161753759,5
"352","S036","low","male","35-49","none",2,0.236122142991573,5
"353","S036","low","male","35-49","none",3,0.333073465402646,5
"354","S036","low","male","35-49","none",4,0.448282634136743,6
"355","S036","low","male","35-49","none",5,0.70222286792755,3
"356","S036","low","male","35-49","none",6,0.493387522118386,5
"357","S036","low","male","35-49","none",7,0.579200770712,6
"358","S036","low","male","35-49","none",8,0.384695641488122,5
"359","S036","low","male","35-49","none",9,0.570052159513315,4
"360","S036","low","male","35-49","none",10,0.334173535275439,4
"361","S037","low","male","50-65","college",1,0.538268962874127,5
"362","S037","low","male","50-65","college",2,0.650004035970633,5
"363","S037","low","male","50-65","college",3,0.432394759920637,6
"364","S037","low","male","50-65","college",4,0.68269847269296,7
"365","S037","low","male","50-65","college",5,0.679470613183827,5
"366","S037","low","male","50-65","college",6,0.550767809174919,4
"367","S037","low","male","50-65","college",7,0.573679202455319,3
"368","S037","low","male","50-65","college",8,0.5551092598115,6
"369","S037","low","male","50-65","college",9,0.594559658258959,4
"370","S037","low","male","50-65","college",10,0.214402979987504,7
"371","S038","low","male","35-49","college",1,0.767155614681546,4
"372","S038","low","male","35-49","college",2,0.456546615930273,4
"373","S038","low","male","35-49","college",3,0.372761134473241,6
"374","S038","low","male","35-49","college",4,0.363396744005219,5
"375","S038","low","male","35-49","college",5,0.51622181756705,5
"376","S038","low","male","35-49","college",6,0.300471704602492,5
"377","S038","low","male","35-49","college",7,0.89143499829015,5
"378","S038","low","male","35-49","college",8,0.665098190394168,3
"379","S038","low","male","35-49","college",9,0.527978494127353,6
"380","S038","low","male","35-49","college",10,0.762021083519742,3
"381","S039","low","male","50-65","none",1,0.513639677865941,5
"382","S039","low","male","50-65","none",2,0.811842366336344,4
"383","S039","low","male","50-65","none",3,0.91733201228946,5
"384","S039","low","male","50-65","none",4,0.720997744163362,5
"385","S039","low","male","50-65","none",5,0.5249326906385,4
"386","S039","low","male","50-65","none",6,0.450594188206592,4
"387","S039","low","male","50-65","none",7,0.504611241389509,5
"388","S039","low","male","50-65","none",8,0.40524103153237,4
"389","S039","low","male","50-65","none",9,0.655476795603451,5
"390","S039","low","male","50-65","none",10,0.428607516319811,6
"391","S040","low","male","18-34","none",1,0.492655148654666,4
"392","S040","low","male","18-34","none",2,0.20639706766184,3
"393","S040","low","male","18-34","none",3,0.416455343058059,4
"394","S040","low","male","18-34","none",4,0.583030196116654,4
"395","S040","low","male","18-34","none",5,0.610176497007135,7
"396","S040","low","male","18-34","none",6,0.367182803483338,7
"397","S040","low","male","18-34","none",7,0.276543393460177,7
"398","S040","low","male","18-34","none",8,1.05537742572399,4
"399","S040","low","male","18-34","none",9,0.322675535576912,5
"400","S040","low","male","18-34","none",10,0.783916436391449,6
"401","S041","low","male","18-34","none",1,0.416775589725179,5
"402","S041","low","male","18-34","none",2,0.62621453274586,5
"403","S041","low","male","18-34","none",3,0.301489935727691,5
"404","S041","low","male","18-34","none",4,0.617662876192952,5
"405","S041","low","male","18-34","none",5,0.922254279959221,5
"406","S041","low","male","18-34","none",6,0.461450252933483,5
"407","S041","low","male","18-34","none",7,0.827909389195199,4
"408","S041","low","male","18-34","none",8,0.577060182829637,4
"409","S041","low","male","18-34","none",9,0.261317665645661,5
"410","S041","low","male","18-34","none",10,0.412159103085735,4
"411","S042","low","male","18-34","college",1,0.463034254362916,5
"412","S042","low","male","18-34","college",2,0.715340161641056,6
"413","S042","low","male","18-34","college",3,0.850307497072706,6
"414","S042","low","male","18-34","college",4,0.667218934083558,6
"415","S042","low","male","18-34","college",5,0.482975127594505,7
"416","S042","low","male","18-34","college",6,0.583018900313046,5
"417","S042","low","male","18-34","college",7,0.850242222681138,6
"418","S042","low","male","18-34","college",8,0.74585915098161,5
"419","S042","low","male","18-34","college",9,0.725632097150914,7
"420","S042","low","male","18-34","college",10,0.367877581632471,5
"421","S043","low","male","50-65","college",1,0.619713036864729,6
"422","S043","low","male","50-65","college",2,0.394629237664373,5
"423","S043","low","male","50-65","college",3,0.326337947881288,3
"424","S043","low","male","50-65","college",4,0.752202031504594,5
"425","S043","low","male","50-65","college",5,0.686753287911558,4
"426","S043","low","male","50-65","college",6,0.642957459037031,3
"427","S043","low","male","50-65","college",7,0.713186844895246,6
"428","S043","low","male","50-65","college",8,0.567285961881219,4
"429","S043","low","male","50-65","college",9,0.579150060349263,4
"430","S043","low","male","50-65","college",10,0.480570402180542,6
"431","S044","low","male","18-34","highschool",1,0.66836115983303,5
"432","S044","low","male","18-34","highschool",2,0.724388207797224,7
"433","S044","low","male","18-34","highschool",3,0.357946036246235,4
"434","S044","low","male","18-34","highschool",4,0.528143414864528,4
"435","S044","low","male","18-34","highschool",5,0.476300641707122,4
"436","S044","low","male","18-34","highschool",6,0.658452638595171,5
"437","S044","low","male","18-34","highschool",7,0.468358878881721,5
"438","S044","low","male","18-34","highschool",8,0.824796342552884,6
"439","S044","low","male","18-34","highschool",9,0.737469958185087,5
"440","S044","low","male","18-34","highschool",10,0.477359678246039,5
"441","S045","low","male","50-65","highschool",1,0.501042174179316,6
"442","S045","low","male","50-65","highschool",2,0.296017069390353,5
"443","S045","low","male","50-65","highschool",3,0.67590604637394,6
"444","S045","low","male","50-65","highschool",4,0.52538312980605,6
"445","S045","low","male","50-65","highschool",5,0.582171550812298,4
"446","S045","low","male","50-65","highschool",6,0.309625942243542,6
"447","S045","low","male","50-65","highschool",7,0.817197595647001,5
"448","S045","low","male","50-65","highschool",8,0.672606494016573,6
"449","S045","low","male","50-65","highschool",9,0.631162347652746,4
"450","S045","low","male","50-65","highschool",10,0.478649456704978,3
"451","S046","low","male","35-49","highschool",1,0.527965221975606,7
"452","S046","low","male","35-49","highschool",2,0.766526654036809,5
"453","S046","low","male","35-49","highschool",3,0.492735683425032,6
"454","S046","low","male","35-49","highschool",4,0.656775051015586,5
"455","S046","low","male","35-49","highschool",5,0.340506445317665,5
"456","S046","low","male","35-49","highschool",6,0.352045124881945,4
"457","S046","low","male","35-49","highschool",7,0.651411361242104,4
"458","S046","low","male","35-49","highschool",8,0.754007547567725,5
"459","S046","low","male","35-49","highschool",9,0.791119905813992,5
"460","S046","low","male","35-49","highschool",10,0.548304207003312,4
"461","S047","low","male","50-65","highschool",1,0.678397832744455,4
"462","S047","low","male","50-65","highschool",2,0.868111815678446,4
"463","S047","low","male","50-65","highschool",3,0.454759963435637,4
"464","S047","low","male","50-65","highschool",4,0.335206823080472,6
"465","S047","low","male","50-65","highschool",5,0.677007859734807,5
"466","S047","low","male","50-65","highschool",6,0.584011466564335,5
"467","S047","low","male","50-65","highschool",7,0.572921261207751,6
"468","S047","low","male","50-65","highschool",8,0.942966844587623,5
"469","S047","low","male","50-65","highschool",9,0.380684370362594,4
"470","S047","low","male","50-65","highschool",10,0.486297120449738,5
"471","S048","low","male","18-34","highschool",1,0.78552138575592,4
"472","S048","low","male","18-34","highschool",2,0.554149271411094,5
"473","S048","low","male","18-34","highschool",3,0.984758514499427,3
"474","S048","low","male","18-34","highschool",4,0.544468393856107,5
"475","S048","low","male","18-34","highschool",5,0.761971409479748,3
"476","S048","low","male","18-34","highschool",6,0.566061968670149,3
"477","S048","low","male","18-34","highschool",7,0.767510131887566,4
"478","S048","low","male","18-34","highschool",8,0.278224600488256,5
"479","S048","low","male","18-34","highschool",9,0.464248239590415,5
"480","S048","low","male","18-34","highschool",10,0.368948362630671,2
"481","S049","low","male","35-49","none",1,0.513973533892313,5
"482","S049","low","male","35-49","none",2,0.681629633351233,5
"483","S049","low","male","35-49","none",3,0.266613938008469,7
"484","S049","low","male","35-49","none",4,0.495043349558928,5
"485","S049","low","male","35-49","none",5,0.669242599824232,4
"486","S049","low","male","35-49","none",6,0.466007664884828,3
"487","S049","low","male","35-49","none",7,0.751611966699894,4
